"","q1s","q2s","q3s","q4s","q5s","q6s"
"81",3.84615384615385,5,3.90909090909091,5,3.1,3.375
"82",1.84615384615385,1,3,4,1,2.375
"84",2.53846153846154,2.22222222222222,2.36363636363636,3,2.1,1
"85",3,3,3,3,3,3
"86",3,3,3,3.14285714285714,2.9,3.125
"88",3.38461538461538,3.66666666666667,3.54545454545455,2,3,2.25
"89",3.30769230769231,3.22222222222222,2.81818181818182,2.85714285714286,3,2.25
"90",3.53846153846154,3,3.90909090909091,5,3,3.625
"91",2.84615384615385,3.88888888888889,3.09090909090909,5,2.9,3
"92",1.23076923076923,1.66666666666667,1,4,1,1.25
"93",1.38461538461538,5,2,5,2,2
"94",1.07692307692308,2.88888888888889,1.36363636363636,5,1,1
"95",3.30769230769231,4,2.18181818181818,2,2.6,2.25
"97",2.38461538461538,4.11111111111111,1.90909090909091,3,1,3
"98",1.23076923076923,3,1,5,3.3,1
"100",3.61538461538462,3.22222222222222,3.18181818181818,4,1.7,2.125
"102",2.84615384615385,3.22222222222222,2.81818181818182,4.57142857142857,2.9,1
"104",3.46153846153846,4.55555555555556,3.18181818181818,4,2.8,2.75
"105",2.30769230769231,3.44444444444444,2.09090909090909,4,3.3,3.125
"106",2.61538461538462,2.77777777777778,2.36363636363636,2.71428571428571,2.7,2.375
"107",2.92307692307692,3.55555555555556,2.63636363636364,3.57142857142857,3,3
"108",3.15384615384615,4.77777777777778,2.36363636363636,4.42857142857143,1.7,1
"109",3.23076923076923,5,3.18181818181818,4,3.6,2
"110",2.69230769230769,2.11111111111111,2.36363636363636,3,1.8,1
"111",3.23076923076923,5,3.72727272727273,5,3.1,3
"112",2.15384615384615,4.22222222222222,2.54545454545455,2.28571428571429,2,2.75
"113",3.76923076923077,4.66666666666667,3.90909090909091,5,3.2,2.25
"114",3.30769230769231,4.77777777777778,3.72727272727273,4.71428571428571,3.8,3.25
"115",1.23076923076923,2,1.45454545454545,3,2.9,3.125
"116",3,3.44444444444444,3.09090909090909,4,4.1,3
"117",2.23076923076923,3,2,3.28571428571429,3.2,3
"118",2.76923076923077,4.22222222222222,2.72727272727273,3.57142857142857,1.6,3
"119",3.69230769230769,4,3,3.42857142857143,3.4,2.25
"120",1.30769230769231,4.88888888888889,2.63636363636364,4.71428571428571,3.7,1.25
"121",3.46153846153846,2,3.18181818181818,2.85714285714286,1.9,1
"122",2.76923076923077,3.66666666666667,2.27272727272727,2.42857142857143,1.6,2.25
"123",2.76923076923077,3,1.90909090909091,3,3.1,3
"124",3.53846153846154,5,3.27272727272727,5,3,1.25
"125",3.69230769230769,4.88888888888889,2.45454545454545,1,3,3
"126",2.76923076923077,3.66666666666667,3,4,2.8,3
"127",1.92307692307692,3.77777777777778,1,3,1.8,1.25
"128",2.23076923076923,4.55555555555556,2.72727272727273,4.42857142857143,3.5,3.375
"129",2.69230769230769,5,2.18181818181818,5,2.1,3.125
"130",2.30769230769231,5,1.90909090909091,1.57142857142857,1.7,1
"131",2.61538461538462,3.33333333333333,2.36363636363636,4.14285714285714,3.7,2.125
"132",1.69230769230769,2.66666666666667,1.09090909090909,3,1,1
"133",2.84615384615385,3.11111111111111,3.18181818181818,4.14285714285714,1.2,1
"134",3.15384615384615,3,2.63636363636364,2.57142857142857,1.2,3
"135",1.92307692307692,3,3,4,2,2
"136",2.07692307692308,3.11111111111111,1.45454545454545,4,1.8,1.75
"137",2.92307692307692,3.88888888888889,3.18181818181818,3.57142857142857,3.4,3
"138",1,1,1.36363636363636,4,1.4,1.125
"139",1.07692307692308,3.33333333333333,2.18181818181818,3,3.6,1
"140",2.30769230769231,3,2,2.14285714285714,1.2,2.25
"141",3.76923076923077,4.11111111111111,3.27272727272727,3.42857142857143,2.9,3.25
"143",3.07692307692308,3.66666666666667,1.45454545454545,4.57142857142857,2.9,2
"144",2.69230769230769,2.66666666666667,2.54545454545455,4,2,2
"145",3.92307692307692,4.11111111111111,3,4.71428571428571,2.3,1
"146",2.92307692307692,2,3.63636363636364,4.14285714285714,4,1
"147",3.76923076923077,4.88888888888889,3.27272727272727,5,4,2
"148",1.61538461538462,1,1.54545454545455,5,2,1
"149",3.92307692307692,5,4.45454545454545,5,1,1
"150",1.15384615384615,3.44444444444444,3.09090909090909,3.28571428571429,1.6,2.25
"151",2.76923076923077,3.44444444444444,2.09090909090909,3,1,1
"152",3.07692307692308,3,3,4,3,3
"153",3.15384615384615,4.66666666666667,3.36363636363636,4.42857142857143,3.8,1
"154",1,1,2.81818181818182,5,1.2,1.25
"155",2.38461538461538,2,2.90909090909091,4,2,3
"156",2,1,2,4,3,3
"157",1.07692307692308,1,1,3.42857142857143,1,2
"158",3.61538461538462,5,3.36363636363636,5,3,1
"159",3.84615384615385,4.66666666666667,1.72727272727273,4,1.4,3.375
"160",2.46153846153846,3.22222222222222,2.27272727272727,5,3.8,2.625
"161",1.53846153846154,1,1.36363636363636,1,1,1
"162",3.46153846153846,4,3.18181818181818,4,2.4,1
"163",2.69230769230769,3,1.90909090909091,4,1.8,3
"164",2.38461538461538,3,3,3.28571428571429,3,3
"165",2.84615384615385,3.66666666666667,3.09090909090909,3.71428571428571,3.6,1.5
"166",2,3.22222222222222,2.09090909090909,4,3.8,3.375
"167",2.07692307692308,3.55555555555556,1.09090909090909,2.57142857142857,2.8,1.625
"168",1,1,1,1,3,1
"169",1.84615384615385,3.66666666666667,2.36363636363636,5,1.4,3.875
"170",2.53846153846154,4.88888888888889,2.72727272727273,4.42857142857143,3.1,1.375
"172",2.76923076923077,5,3.36363636363636,5,3.8,1
"173",2,3.22222222222222,3,2,1,1
"174",2.07692307692308,2.11111111111111,1.36363636363636,1,1,1
"175",2.69230769230769,3.11111111111111,3,3,1,1.125
"176",2.61538461538462,4,3.09090909090909,2.71428571428571,1,1.875
"177",3.15384615384615,3,3,3,1,3
"178",3.07692307692308,4.55555555555556,2.90909090909091,5,1.4,3
"179",2.92307692307692,3.88888888888889,2.72727272727273,4.42857142857143,3.4,1
"180",3.46153846153846,3.22222222222222,3.27272727272727,5,2.1,3.25
"181",1.15384615384615,3,2.63636363636364,4.14285714285714,2.9,2
"182",4.07692307692308,4.88888888888889,4.18181818181818,4.57142857142857,2.7,3.375
"183",2.53846153846154,4.33333333333333,2.90909090909091,5,1.5,1.125
"184",2.23076923076923,3.44444444444444,2.09090909090909,4.57142857142857,3.1,1
"185",2.38461538461538,4.22222222222222,2.45454545454545,4.57142857142857,1.9,1.125
"186",1.15384615384615,1.11111111111111,1.81818181818182,4.42857142857143,4.4,3.25
"187",2.38461538461538,2.66666666666667,2.27272727272727,3.42857142857143,3.2,3.375
"188",2,4,1.63636363636364,4,2.3,1.125
"189",3.61538461538462,5,3.90909090909091,4.57142857142857,2.8,1.125
"190",2,2.44444444444444,2,4.42857142857143,3.7,2.875
"191",2.15384615384615,4.77777777777778,2.36363636363636,5,4.1,1
